Equipo,Medallas
30. Februar,0
A North American Team,4
Acipactli,0
Acturus,0
Afghanistan,2
Akatonbo,0
Alain IV,0
Albania,0
Alcaid,0
Alcyon-6,0
Alcyon-7,0
Aldebaran,0
Aldebaran II,0
Aletta,0
Algeria,28
Ali-Baba II,5
Ali-Baba IV,0
Ali-Baba IX,0
Ali-Baba VI,0
Allegro,0
Almaz,0
Aloha II,0
Amateur Athletic Association,5
American Samoa,0
Amolgavar,0
Amstel Amsterdam,4
Amulet-3,0
Amulet-7,0
Ancora,4
Andorinha,0
Andorra,0
Andromeda,0
Angelita,12
Angerburg,0
Angola,0
Anitra,0
Antares,0
Antigua and Barbuda,0
Antwerpia V,5
Apache,0
Aphrodite,3
Arcturus,0
Ardilla,0
Aretusa,0
Argentina,284
Argentina-1,0
Argentina-2,0
Argeste,0
Argo II,0
Argonaut Rowing Club,6
Argus,0
Ariel,0
Ariette-10,0
Ariette-8,0
Armenia,16
Aruba,0
Aschenbrodel,8
Astrid III,0
Atalanta Boat Club-1,2
Atalanta Boat Club-2,2
Athens-2,0
Atlanta,9
Augsburg,0
Ausonia,0
Australasia,29
Australia,1376
Australia-1,4
Australia-2,0
Australia-3,0
Australia/Great Britain,2
Austria,418
Austria-1,32
Austria-2,4
Azerbaijan,60
"BLO Polo Club, Rugby",4
Babe,0
Baby-1,2
Baby-9,0
Baccara,0
"Bagatelle Polo Club, Paris",4
Bahamas,36
Bahrain,3
Bajazzo,0
Balaton,0
Ballerina IV,3
Bamba,0
Bangladesh,0
Barbados,1
Barco Deloro,0
Barion/Bari-2,3
Barrenjoey,3
Beatrijs III-1,3
Beaver,0
Belarus,142
Belarus-1,0
Belarus-2,0
Belgium,421
Belgium-1,6
Belgium-2,0
Belgium-3,0
Belgium-4,0
Belize,0
Bella,0
Bellatrix IX,0
Bellatrix XIII,0
Bem II,2
Benin,0
Bera,5
Berliner Ruderclub,2
Berliner Ruderclub Sport-Borussia-1,0
Berliner Ruderverein von 1876-2,9
Bermuda,1
Bermudes,0
Bermudian,0
Bhutan,0
Bim,0
Bingo,3
Bissbi,4
Blue Red,0
Bluebottle,3
Boer Team,0
Bohemia,11
Bohemia-1,0
Bohemia-2,0
Bohemia-3,0
Bohemia/Great Britain,2
Bolivia,0
Bona Fide,3
Bonaparte,1
Bonzo,3
Boreas,0
Boreas-2,2
Bosnia and Herzegovina,11
Boston Archers,4
Botswana,1
Brandenburg,0
Brat,0
Brazil,539
Brazil-1,20
Brazil-2,6
Bremen,0
Brentina,0
Breslau,0
Briar,0
Brigantia,0
British Virgin Islands,0
Bronia,0
Brunei,0
Brussels Swimming and Water Polo Club,10
Brynhild-2,1
Bu III,0
Bucintoro Venezia,8
Bucintoro Venezia-1,3
Bulgaria,344
Bulgaria-1,0
Bulgaria-2,0
Buraddoo,3
Burevestnik,0
Burkina Faso,0
Burundi,2
Buscape II,0
Bylina-2,0
C.V.A.-14,0
C.V.A.-7,0
Calcinhas,0
Calimucho,0
Calypse II,0
Cambodia,0
Cambria,0
Cambridge University Boat Club-2,9
Camelia,0
Cameroon,22
Camille,1
Canada,1262
Canada-1,36
Canada-2,2
Canada-3,0
Canopus,0
Cape Verde,0
Caprice,4
Carabinier-15,1
Carabinier-5,0
Cayman Islands,0
Central African Republic,0
"Central Turnverein, Chicago",6
Century Boat Club-1,4
Cercle Nautique de Reims-4,0
Cercle de l'Aviron Roubaix-4,5
Ceres II,0
Cha-Cha III,0
Chad,0
Chaje II,0
Chamukina,0
Chance,0
Chicago Archers,0
Chicago Athletic Association,5
Chicago Athletic Association-2,11
Chile,36
China,901
China-1,52
China-2,34
China-3,2
Chinese Taipei,50
Chinese Taipei-1,0
Chinese Taipei-2,0
Chok,0
Christian Brothers' College-1,11
Chuckles,2
Cicely-1,1
Cinara-13,0
Cincinnati Archers,8
Ciocca,0
Ciocca II,0
Ciocca III,0
Circus,0
Ciss,0
Clearwater,1
Clementine V,0
Club Nautique de Dieppe-5,0
Club Nautique de Franais-1,0
Club Nautique de Lyon-2,4
Cobweb-1,5
Colette-10,0
Colette-12,0
Colombia,44
Comanche,2
Combine,0
Comoros,0
Compigne Polo Club,0
Complex II,4
"Concordia Turnverein, St Louis",0
Congo,0
Congo (Brazzaville),0
Congo (Kinshasa),0
Cook Islands,0
Cornwall,15
Costa Rica,5
Cote d'Ivoire,3
Covunco III,0
Crabe I-11,0
Crabe I-2,0
Crabe I-3,0
Crabe II-1,5
Crabe II-12,0
Crabe II-4,5
Crete,0
Croatia,157
Crocodile-11,0
Crocodile-13,0
Cuba,411
Cuba-1,0
Cuba-2,0
Cupidon III,0
Cupidon Viking,0
Cuxhaven,0
Cyprus,2
Czech Republic,142
Czech Republic-1,10
Czech Republic-2,0
Czechoslovakia,486
Czechoslovakia-1,2
Czechoslovakia-2,0
Czechoslovakia-3,0
Côte d'Ivoire,0
Daisy,0
Damoiselle,0
Damoiselle IV,0
Danaldo,0
Dansk Idrts Forbund,0
Danuta,0
Danzig,0
"Davenport Turngemeinde, Davenport",0
DeRuyter,0
Demi-Mondaine-15,0
Demi-Mondaine-17,0
Democratic Republic of the Congo,0
Denmark,557
Denmark-1,2
Denmark-2,2
Denmark-3,0
Denmark-4,0
Denmark/Sweden,6
Deutscher Schwimm Verband Berlin,4
Devon and Somerset Wanderers,12
Diablo,0
Diabolo St Maurice,0
Dick-8,0
Digby,1
Dinah V,0
Djibouti,1
Djinn,5
Dolfijn,0
Dominica,0
Dominican Republic,7
Don Schufro,1
Donar III,0
Dormy-1,3
Dow Jones,0
Dresden,0
Druzhba,0
Ducky-16,0
Ducky-4,0
Dylan-2,0
EA II,0
East Germany,941
East Germany-1,42
East Germany-2,22
East Germany-3,0
Ecuador,5
Edelweiss II-1,3
Egypt,34
Eissero VI,0
El Salvador,1
Eleda,7
Elisabeth V,3
Elisabeth X,5
Elsie,4
Elvis Va,1
Emily,5
Encore,3
England,1
England-1,23
Enotria,0
Equatorial Guinea,0
Eritrea,1
Erna Signe,10
Escapade,0
Espadarte,2
Espardate,0
Esperia,0
Espuma del Mar,0
Essen,0
Esterel-1,2
Estonia,45
Ethiopia,54
Ethnikos Gymnastikos Syllogos,2
Evita VI,0
Fada,0
Falcon IV,2
Falcon VI,0
Faneca,0
Fantasio III,0
Fantlet-2,0
Fantlet-7,1
Faroe Islands,0
Favorite Hammonia-3,6
Favorite-1,8
Favorite-17,0
Federated States of Micronesia,0
Femur-1,1
Femur-18,0
Feo,0
Fiji,13
Finland,880
Finland-1,0
Finland-2,0
Finn II,0
Firebird II,0
Floresco,0
Formosa,1
Fornebo,4
Fortuna,0
Foxhunters Hurlingham,5
Fram,0
Fram III,0
France,1609
France-1,22
France-2,4
France-3,4
France-4,0
France/Great Britain,2
Frankfurt Club,15
Freddy,0
Freia-19,0
Freia-5,0
Freja,0
Frieda,0
Frimousse,1
Frip IV,0
Fruits,0
Gabbiano,0
Gabon,1
Galatea II,0
Galejan,0
Galerna,0
Gallant,5
Gallia II,7
Galopin De La Font,0
Galopin-20,0
Galopin-9,0
Galt Football Club,13
Gam II,0
Gambia,0
Gem,2
Gem II,0
Gem III,0
Gem IV,2
Gem VII,0
Georgia,35
Germania II,6
"Germania Ruder Club, Hamburg",0
"Germania Ruder Club, Hamburg-2",5
Germany,2019
Germany-1,70
Germany-2,29
Germany-3,0
Germany/United States,0
Ghana,23
Gilliatt V,0
Girl Pat,0
Giselle-6,0
Gitana-2,10
Gitana-21,0
Glider,2
Glisten,0
Gran Gesto,0
Great Britain,1803
Great Britain-1,34
Great Britain-2,28
Great Britain-3,6
Great Britain-4,0
Great Britain/Germany,2
Greece,186
Greece-1,6
Greece-2,2
Greece-3,0
Greece-4,0
Greenoaks Dundee,0
Grenada,2
Grifo III,0
Grifo IV,0
Grifone,0
Gteborgs Roddfrening-2,0
Gteborgs Roddklubb-1,0
Guam,0
Guanahani,0
Guatemala,1
Guinea,0
Guinea Bissau,0
Guinea-Bissau,0
Gullvinge,0
Gustel V,0
Gustel X,3
Gustl XI,0
Guyana,1
Guyoni,3
Gwendoline-2,3
Gwendoline-22,0
GyoshuII,0
Gyp-23,0
Gyp-6,0
Gyrinus-1,6
Haiti,6
Hakahana,0
Hamburg,0
Hannover,0
Harmony,0
Hatuey,0
Hayama,0
Hb-20,0
Hb-24,0
Heatherbell,7
Heidelberg,0
Heira II,9
Helsingfors R. K.,0
Hera-1,10
Heroine,4
Hi-Hi,4
Hilarius,2
Hirondelle,0
Hojwa,3
Holland,0
Hollandia,6
Honduras,0
Hong Kong,2
"Hong Kong, China",6
Hong Kong-1,0
Hong Kong-2,2
Hornet,0
Humbug V,2
Hungaria,0
Hungaria Evezos Egylet,0
Hungary,1141
Hungary-1,8
Hungary-2,0
Hungary-3,0
Hurlingham-2,4
Iceland,17
Ilderim,0
Impala,0
Inca,0
Independent Rowing Club-3,2
India,214
India-1,0
India-2,0
Individual Olympic Athletes,5
Indonesia,36
Indonesia-1,14
Indonesia-2,0
Inga-Lill XXXXIII,0
Ingegerd,0
Iran,68
Iraq,4
Ireland,41
Ireland-1,0
Ireland-2,12
Ireland-3,4
Irene,5
Islamic Republic of Iran,34
Israel,13
Israel-1,0
Israel-2,0
Italia,6
Italy,1577
Italy-1,36
Italy-2,14
Italy-3,0
Jamaica,157
Jamaica-1,0
Jamaica-2,0
Japan,985
Japan-1,2
Japan-2,0
Japan-3,0
Jeanette-25,0
Jeannette-18,0
Jest,2
Jet,0
Jill,0
Jo,3
Johan,0
John B,0
Jordan,6
Joy,2
June Climene,0
Jupiter,2
K Division Metropolitan Police Team-3,8
K.S.S.S. 1912-2,0
KNS,0
Kalayaan,0
Kannibaltje,0
Kathleen,2
Kazakhstan,82
Kemphaan,0
Kenya,107
Kerstin-1,3
Kiel,0
Kingfisher,0
Kiribati,0
Kitty-1,8
Kln,0
Knigsberg,0
Kon-Tiki,0
Konstanz,0
Korshun,0
Kosovo,1
Kristiania Roklub,0
Kristiania Roklub-1,5
Kuling,0
Kullan,3
Kurush II,2
Kurush IV,0
Kuwait,4
Kyrgyzstan,3
L'Aile VI,6
"La Salle Turnverein, Chicago",0
LaBandera,0
Lady C,2
Lalage,5
Lancet,0
Lao People's Democratic Republic,0
Laos,0
"Large boat, Central Naval Prep School ""Poros""-1",17
Lasha,0
Latvia,28
Latvia-1,10
Latvia-2,0
Laurea-1,1
Lbeck,0
Leander Club #1-1,2
Leander Club #2-2,2
Leander Club-1,18
Leander Club-2,4
Lebanon,4
Legionario,0
Leipzig,0
"Lemzos Thorichton ""Psara""-3",0
"Lemzos Thorichton ""Spetsai""-4",0
Lerina,6
Lesotho,0
Lett,0
Libellule de Paris,7
Libellule de Paris-3,0
Liberia,0
Libya,0
Liechtenstein,9
"Life boat naval ship ""Spetsai""-1",7
Linglom,0
Lithuania,69
Liverpool Police Team-2,8
Llanoria,11
London City Police-1,8
Lotta IV,0
Lucky,0
Lucky Girl-1,5
Lucky Star,0
Ludwigshafener Ruder Verein-1,5
Ludwigshafener Ruderverein,5
Lully II,5
Luxembourg,8
Luxembourg-1,0
Luxembourg-2,0
Lyn-2,5
Lynn,0
Ma'Lindo,2
Mac Miche,3
Macedonia,1
Macky VI,3
Mad Dog,0
Madagascar,0
Magda IX,10
Magdalen College Boat Club-1,4
Maid of Lebanon,0
Mainz,0
Malawi,0
Malaya,0
Malaysia,17
Malaysia-1,2
Malaysia-2,2
Maldives,0
Mali,0
Malta,0
Mamie-4,0
Mamie-6,0
Manana,0
Marga-2,0
Margaret,2
Mari,0
Marie-Tim,0
"Marinai della nave da guerra ""Varese""",24
Marmara,0
Marmi II-1,3
Marshall Islands,0
Marsouin-26,0
Marsouin-8,0
Martha-1,8
Martha-27,0
Maryke,0
Mascaret-28,0
Mascaret-4,0
Mascotte,3
Matrero II,0
Mauritania,0
Mauritius,1
Mauritius-1,0
Mauritius-2,0
May Be,5
May Be VII,0
May-Be 1960,0
Mebi,0
Merope,2
Merope III,2
Meteor,0
Mexico,125
Mexico-1,0
Mexico-2,0
Mignon-29,0
Mignon-3,1
Milwaukee Athletic Club-1,5
"Milwaukee Turnverein, Milwaukee",0
Minerva Amsterdam,17
Minotaur,3
Mirtala,0
Miss Denmark 1964,0
Miss Nippon IV,0
Miss Nippon V,0
Missouri Athletic Club-3,11
Mistral Hojris,0
MitaII,0
Mizar,0
Mohawk Indians-2,12
Moldova,8
Monaco,1
Monaco-1,0
Monaco-2,0
Mongolia,27
Monica,0
Montenegro,15
Moorina,0
Morena,0
Morocco,43
Moseley Wanderers,15
Mosk II,7
Mouchette-2,10
Mound City Rowing Club-2,4
Mozambique,2
Mutafo,3
Myanmar,0
Myojo,0
Mystery,0
Mythilus,0
Nadine,1
Naiad,0
Namibia,6
Namoussa,5
